movie_id,genre_id
307,8
307,12
307,11
308,0
308,5
308,20
309,7
309,12
309,11
310,0
310,5
310,6
311,0
311,8
311,6
312,0
312,1
312,19
313,23
313,11
314,0
314,7
314,1
315,0
315,7
315,3
316,0
316,5
316,6
316,17
317,7
317,1
317,13
318,0
318,18
318,3
319,0
319,7
319,3
320,0
320,5
321,0
321,6
322,0
322,7
322,1
322,5
323,0
323,5
323,3
324,0
324,7
324,1
325,0
325,1
325,5
325,3
326,4
326,13
326,11
327,0
327,4
327,3
328,12
328,13
328,11
329,12
329,13
329,11
330,0
330,10
331,0
331,5
331,3
332,12
332,13
332,11
333,0
333,3
334,0
334,1
334,18
335,0
335,5
335,6
336,0
336,7
336,1
337,0
337,7
338,0
339,7
339,12
339,11
340,0
340,1
341,7
341,4
341,3
342,0
342,1
342,17
343,0
344,0
344,2
345,0
345,5
345,6
345,3
346,4
346,8
346,13
346,11
347,0
347,1
347,13
348,0
348,1
349,8
349,5
349,6
350,0
350,10
351,7
351,12
351,11
352,0
352,1
353,0
353,1
354,0
354,7
354,1
355,0
355,7
355,1
356,7
356,3
357,27
358,0
358,14
359,0
359,14
360,0
360,4
360,8
360,6
360,3
361,5
361,6
361,3
362,7
362,1
363,0
363,2
363,18
364,0
364,21
364,22
365,1
365,20
365,13
366,0
366,12
366,13
367,0
367,7
367,1
368,0
368,5
368,3
369,7
369,1
370,0
370,1
371,7
371,8
371,12
371,14
371,11
372,0
372,7
372,24
373,7
373,12
373,24
373,13
373,11
374,0
374,7
374,1
375,0
375,4
375,3
376,0
376,5
376,3
376,13
377,4
377,8
377,12
378,4
378,8
378,12
379,0
379,7
379,1
380,7
380,1
380,16
381,0
381,1
382,0
382,7
382,13
382,11
383,0
383,1
384,0
384,1
384,3
385,0
385,1
385,19
386,0
386,1
386,18
387,0
387,7
387,1
388,0
389,0
389,8
390,7
390,19
390,3
391,7
391,13
392,0
392,1
392,5
392,3
393,0
393,7
393,1
394,0
394,1
394,2
395,0
395,23
396,0
396,2
397,0
397,12
397,13
398,7
398,14
398,24
399,0
399,1
399,9
399,10
400,4
400,8
400,6
400,11
401,0
402,0
402,7
402,1
403,0
403,3
404,0
404,1
404,5
405,0
405,24
406,4
406,5
406,6
407,5
407,6
407,11
408,0
408,10
409,0
409,2
409,10
410,7
410,8
410,11
411,0
411,5
411,6
411,3
411,25
412,0
412,1
412,2
413,0
413,14
413,18
414,0
414,1
414,17
415,0
415,1
415,6
415,17
416,7
416,3
417,0
417,1
417,14
418,0
418,10
419,0
419,4
419,9
419,10
419,11
420,0
420,7
420,1
421,0
421,18
421,11
422,4
422,6
422,15
423,0
423,13
424,0
424,1
425,0
425,9
425,10
426,0
426,14
427,0
427,7
427,1
428,0
429,0
429,7
429,1
430,0
430,2
430,14
430,18
431,0
431,1
431,16
431,18
432,7
432,13
432,11
433,0
433,6
433,3
434,0
434,1
434,10
435,0
435,1
435,16
436,0
436,6
436,10
436,3
437,7
437,12
438,7
438,1
439,0
439,17
440,0
440,1
440,8
440,13
441,0
441,8
441,11
442,0
442,3
443,0
443,2
443,18
444,0
444,5
444,6
444,18
444,3
445,0
445,1
445,20
446,0
446,18
446,9
446,10
447,0
447,10
447,13
448,0
448,9
449,0
449,7
449,3
450,13
450,11
451,0
452,7
452,1
453,0
454,0
454,2
455,0
455,6
455,11
456,0
456,1
457,7
457,12
457,14
458,0
458,13
459,5
459,20
460,0
460,14
461,0
461,1
462,0
462,3
463,12
463,13
463,11
464,20
465,0
465,1
465,6
465,3
466,0
466,5
466,6
466,2
466,3
467,0
467,7
467,1
468,0
469,1
470,0
470,5
471,0
472,12
472,13
472,11
473,0
473,18
473,9
474,7
474,4
474,12
474,11
475,0
475,1
476,0
476,6
476,9
477,0
478,0
478,1
478,10
479,0
479,1
479,13
480,0
480,14
481,0
481,1
481,5
482,0
482,9
482,10
483,0
484,0
484,18
484,9
484,10
485,0
485,7
485,3
486,0
486,18
486,9
486,10
487,0
487,6
487,3
488,0
488,5
488,6
488,18
488,9
489,7
489,12
489,11
490,0
491,0
491,1
491,3
492,0
492,6
493,0
493,1
494,0
495,0
495,24
495,13
495,11
496,0
496,1
496,10
497,0
497,3
497,23
498,0
498,1
499,5
499,20
499,3
500,0
500,8
500,5
501,0
501,14
502,0
502,1
503,13
503,11
504,0
505,6
505,20
505,11
506,20
507,7
507,4
507,3
507,13
508,1
508,16
508,13
509,0
509,8
509,5
510,0
510,3
510,23
510,11
511,0
511,23
512,0
512,5
512,3
513,0
513,5
513,3
514,0
515,0
515,7
515,4
515,3
516,0
516,1
517,7
517,5
517,3
518,0
518,1
519,0
519,1
520,0
520,20
521,0
522,4
522,5
522,6
523,0
523,7
523,11
524,7
524,12
524,11
525,0
525,1
526,0
526,14
527,0
528,27
529,4
529,1
529,21
529,22
530,0
530,1
530,6
531,0
531,5
531,6
532,0
532,5
532,3
533,4
533,13
533,11
534,0
534,1
534,14
535,0
535,6
535,3
536,0
536,6
536,3
537,0
538,0
538,18
539,0
539,17
540,8
540,6
540,11
541,0
541,7
542,0
542,7
543,7
543,12
543,19
543,13
544,0
544,1
544,18
545,0
545,1
546,0
546,9
547,0
547,2
548,0
548,7
548,1
549,0
549,5
549,3
550,0
550,7
551,4
551,8
552,0
552,1
552,13
553,12
553,13
553,11
554,0
554,4
554,6
554,3
555,0
555,7
555,10
556,0
556,1
556,18
557,0
557,18
557,9
557,10
558,0
558,1
559,7
559,8
559,11
560,0
560,5
560,6
560,3
561,0
561,1
561,12
561,13
562,0
562,1
563,0
563,1
564,0
564,16
565,0
566,7
566,1
566,2
566,18
567,0
567,1
567,18
567,9
568,0
568,7
568,11
569,0
569,10
570,0
570,10
571,0
571,1
571,5
571,13
572,0
572,14
573,7
573,1
573,23
573,11
574,0
574,5
574,6
575,0
575,4
575,11
576,0
576,1
576,2
576,18
577,0
577,18
577,9
577,3
578,0
578,1
578,5
578,10
579,0
579,7
579,1
579,14
580,0
580,20
580,19
581,0
582,0
583,0
584,0
584,5
585,0
585,11
586,0
586,1
586,18
587,0
587,1
587,26
588,0
588,3
588,26
589,0
589,4
589,3
590,0
590,18
591,4
591,8
592,8
592,5
592,6
593,0
593,7
593,1
594,4
594,8
594,6
594,3
595,4
595,8
595,6
596,0
596,16
597,0
597,3
598,0
598,4
598,5
599,0
599,14
0,4
